รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาทุนต่อหน่วย,ราคาขายต่อหน่วย,ยอดยกมา,มูลค่ายกมา,รหัสร้านค้า,รูปสินค้า,flag_activate,admin_note
P230-000551,วัสดุใช้ไป,ลวดเสียบกระดาษ ขนาดใหญ่ เบอร์ 0,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,15,,17,255,,,TRUE,
P230-000552,วัสดุใช้ไป,ลิ้นแฟ้ม ชนิดพลาสติก,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,95,,0,0,,,TRUE,
P230-000553,วัสดุใช้ไป,ลิ้นแฟ้ม ชนิดเหล็ก,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,95,,35,"3,325.00",,,TRUE,
P230-000554,วัสดุใช้ไป,สติ๊กเกอร์ ชนิดกระดาษ แบบสี ขนาด A4 สีเขียว,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,45,,0,0,,,TRUE,
P230-000555,วัสดุใช้ไป,สติ๊กเกอร์ ชนิดกระดาษ แบบสี ขนาด A4 สีฟ้า,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,45,,0,0,,,TRUE,
P230-000556,วัสดุใช้ไป,สติ๊กเกอร์ ชนิดกระดาษ แบบสี ขนาด A4 สีม่วง,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,45,,0,0,,,TRUE,
P230-000557,วัสดุใช้ไป,สติ๊กเกอร์ ชนิดกระดาษ แบบสี ขนาด A4 สีส้ม,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,45,,0,0,,,TRUE,
P230-000558,วัสดุใช้ไป,สติ๊กเกอร์ ชนิดกระดาษ แบบสี ขนาด A4 สีเหลือง,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,45,,0,0,,,TRUE,
P230-000559,วัสดุใช้ไป,สติ๊กเกอร์ ชนิดกระดาษ แบบสี ขนาด A4 สี่ขาวมัน,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,45,,0,0,,,TRUE,
P230-000560,วัสดุใช้ไป,สติ๊กเกอร์ แบบต่อเนื่อง สำหรับพิมพ์ชื่อผู้ป่วย ขนาด 6*2.5 ซม.,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,200,,429,"85,800.00",,,TRUE,
P230-000561,วัสดุใช้ไป,สติ๊กเกอร์ สำหรับติดชาร์ทผู้ป่วย สีฟ้า,วัสดุสำนักงาน,วัสดุสำนักงาน,แผ่น,5,,96,480,,,TRUE,
P230-000562,วัสดุใช้ไป,สติ๊กเกอร์ สำหรับติดชาร์ทผู้ป่วย สีเหลือง,วัสดุสำนักงาน,วัสดุสำนักงาน,แผ่น,5,,194,970,,,TRUE,
P230-000563,วัสดุใช้ไป,สติ๊กเกอร์ ชนิดพลาสติก แบบใส ขนาดใหญ่ สีใสหลังเหลือง,วัสดุสำนักงาน,วัสดุสำนักงาน,แผ่น,20,,0,0,,,TRUE,
P230-000564,วัสดุใช้ไป,สมุด สำหรับ Refer คลอด (บส.08/1),วัสดุสำนักงาน,วัสดุสำนักงาน,เล่ม,50,,0,0,,,TRUE,
P230-000565,วัสดุใช้ไป,สมุด สำหรับ Refer ทั่วไป (บส.08),วัสดุสำนักงาน,วัสดุสำนักงาน,เล่ม,50,,0,0,,,TRUE,
P230-000566,วัสดุใช้ไป,สมุด ชนิดปกสี คู่มือเบิกจ่ายในราชการ 301,วัสดุสำนักงาน,วัสดุสำนักงาน,เล่ม,30,,5,150,,,TRUE,
P230-000567,วัสดุใช้ไป,สมุด สำหรับตรวจสุขภาพ,วัสดุสำนักงาน,วัสดุสำนักงาน,เล่ม,5,,0,0,,,TRUE,
P230-000568,วัสดุใช้ไป,สมุด ชนิดหุ้มปก สำหรับทะเบียนหนังสือรับ,วัสดุสำนักงาน,วัสดุสำนักงาน,เล่ม,65,,29,"1,885.00",,,TRUE,
P230-000569,วัสดุใช้ไป,สมุด ชนิดหุ้มปก สำหรับทะเบียนหนังสือส่ง,วัสดุสำนักงาน,วัสดุสำนักงาน,เล่ม,65,,50,"3,250.00",,,TRUE,
